Youth cannot know how age thinks and feels. But old men are guilty if they forget what it was to be young.,Albus Dumbledore,Gryffindor
Never trust anything that can think for itself if you can’t see where it keeps its brain.,Arthur Weasley,Gryffindor
"Where your treasure is, there will your heart be also.",Albus Dumbledore,Gryffindor
The best of us must sometimes eat our words.,Albus Dumbledore
"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",Albus Dumbledore,Gryffindor
You think the dead we loved truly ever leave us? You think that we don’t recall them more clearly in times of great trouble? A,Albus Dumbledore,Gryffindor
It is impossible to manufacture or imitate love.,Horace Slughorn,Slytherin
"You are protected, in short, by your ability to love!",Albus Dumbledore,Gryffindor
Differences of habit and language are nothing at all if our aims are identical and our hearts are open.,Albus Dumbledore
"The ones that love us never really leave us. You can always find them, in here.",Sirius Black,Gryffindor
After all this time? Always.,Severus Snape,Slytherin
Dumbledore would have been happier than anybody to think that there was a little more love in the world.,Minerva McGonagall,Gryffindor
It does not do to dwell on dreams and forget to live.,Albus Dumbledore
I hope you’re pleased with yourselves. We could all have been killed – or worse expelled.,Hermione Granger,Gryffindor
"It is a curious thing, Harry, but perhaps those who are best suited to power are those who have never sought it.",Albus Dumbledore,Gryffindor
"To the well-organized mind, death is but the next great adventure.",Albus Dumbledore,Gryffindor
"If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals",Sirius Black,Gryffindor
Dark and difficult times lie ahead. Soon we must all face the choice between what is right and what is easy.,Albus Dumbledore,Gryffindor
Fear of a name only increases fear of the thing itself.,Hermione Granger,Gryffindor
"It is the unknown we fear when we look upon death and darkness, nothing more.",Albus Dumbledore,Gryffindor
The poor toilet’s never had anything as horrible as your head down it — it might be sick.,Harry Potter,Gryffindor
"Really, Hagrid, if you are holding out for universal popularity, I’m afraid you will be in this cabin for a very long time.",Albus Dumbledore,Gryffindor
"Oh, well…I’d just been thinking…if you had died, you’d have been welcome to share my toilet,",Myrtle Warren,Ravenclaw
"Well, thank you for that assessment, Mr. Weasley. Perhaps it would be more useful if I were to transfigure Mr. Potter and yourself into a pocket watch. That way, one of you might be on time.",Minerva McGonagall,Gryffindor
Just because you have the emotional range of a teaspoon doesn’t mean we all have.,Hermione Granger,Gryffindor
He can run faster than Severus Snape confronted with shampoo.,Fred Weasley
"Anyone can speak Troll, All you have to do is point and grunt.",Fred Weasley,Gryffindor
"It is our choices, Harry, that show what we truly are, far more than our abilities.",Albus Dumbledore
"Happiness can be found, even in the darkest of times, if only one remembers to turn on the light.",Albus Dumbledore,Gryffindor
"It matters not what someone is born, but what they grow to be.",Albus Dumbledore,Gryffindor
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",Albus Dumbledore,Gryffindor
"We are only as strong as we are united, as weak as we are divided.",Albus Dumbledore,Gryffindor
We must try not to sink beneath our anguish…but battle on.,Albus Dumbledore,Gryffindor
"Let us step into the night and pursue that flighty temptress, adventure.",Albus Dumbledore,Gryffindor
"Harry, suffering like this proves you are still a man! This pain is part of being human … the fact that you can feel pain like this is your greatest strength.",Albus Dumbledore,Gryffindor
"No good sittin’ worryin’ abou’ it. What’s comin’ will come, an’ we’ll meet it when it does.",Rubeus Hagrid,Gryffindor
There are some things you can’t share without ending up liking each other.,Harry Potter,Gryffindor
"I am what I am an’ I’m not ashamed. ‘Never be ashamed,’ my ol’ dad used ter say, ‘there’s some who’ll hold it against you, but they’re not worth bothern’ with.’",Rubeus Hagrid,Gryffindor
Wit beyond measure is a man’s greatest treasure.,Rowena Ravenclaw,Ravenclaw
"Things we lose have a way of coming back to us in the end, if not always in the way we expect.",Luna Lovegood,Ravenclaw
I think I’ll just go down and have some pudding and wait for it all to turn up — it always does in the end.,Luna Lovegood,Ravenclaw
"It is important, to fight, and fight again, and keep fighting, for only then could evil be kept at bay, though never quite eradicated.",Albus Dumbledore,Gryffindor
The world isn’t split into good people and Death Eaters. We’ve all got both light and dark inside us. What matters is the part we choose to act on. That’s who we really are.,Sirius Black,Gryffindor
